symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,cact,xdt,mpc,ypc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
SILVER360,Commodity-Silver,140,146.98,137.45,146.98,11,8.09,46892,6661008.6,136.5765,146.98,78.4,135.98,0,0,16.63,,29-Aug-2025,-,-,26.336599621798165,Infinity,0,-87.47448979591834,https://nsearchives.nseindia.com/today/SILVER360EQN.svg,https://nsearchives.nseindia.com/30d/SILVER360-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER360-EQ.svg,"{'symbol': 'SILVER360', 'companyName': '360 ONE Mutual Fund - 360 ONE Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BC3', 'listingDate': '2025-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,13.83,14.4,13.58,14.4,0.9,6.67,36449025,514660233,13.2963,14.4,8.15,13.5,0,50.84,17.29,27-Sep-2024,29-Aug-2025,-,-,25.984251968503944,60.17797552836485,0,-76.68711656441718,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SILVER,Physical price of Silver,142.88,148,142.37,147.28,8.56,6.17,2499048,363636474.48,138.2246,148,86.3,138.72,0,51.05,17.27,27-Sep-2024,29-Aug-2025,-,-,25.280707723715548,59.2560553633218,0.48648648648648574,-70.66048667439166,https://nsearchives.nseindia.com/today/SILVEREQN.svg,https://nsearchives.nseindia.com/30d/SILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER-EQ.svg,"{'symbol': 'SILVER', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB19F6', 'listingDate': '2022-02-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
MONQ50,Nasdaq Q-50 Total Return Index,93.35,100.3,91.35,97.46,5.12,5.54,588025,57103107.75,84.4223,100.3,61.31,92.34,0,45.05,11.64,27-Sep-2024,29-Aug-2025,-,-,20.24676125848241,52.1623731459797,2.8315054835493556,-58.96264883379545,https://nsearchives.nseindia.com/today/MONQ50EQN.svg,https://nsearchives.nseindia.com/30d/MONQ50-EQ.svg,https://nsearchives.nseindia.com/365d/MONQ50-EQ.svg,"{'symbol': 'MONQ50', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nasdaq Q 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01AU3', 'slb_isin': 'INF247L01AU3', 'listingDate': '2021-12-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,137.3,142.7,137.3,140.7,7.12,5.33,7159364,997657373.4,132.9493,142.7,83.13,133.58,0,51.13,17.26,27-Sep-2024,29-Aug-2025,-,-,24.52429418532613,58.07212672733398,1.401541695865452,-69.25297726452544,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
GROWWSLVR,Commodity-Silver,142.57,148,140.2,143.48,7.05,5.17,881008,126424648,136.4456,148,94.2,136.43,0,0,16.83,,29-Aug-2025,-,-,23.742992669253976,Infinity,3.054054054054061,-52.314225053078545,https://nsearchives.nseindia.com/today/GROWWSLVREQN.svg,https://nsearchives.nseindia.com/30d/GROWWSLVR-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWSLVR-EQ.svg,"{'symbol': 'GROWWSLVR', 'companyName': 'Groww Mutual Fund - Groww Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01LA1', 'listingDate': '2025-05-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SBISILVER,SBI SILVER ETF,140.96,142.99,140.95,142.74,6.41,4.70,3151373,447652534.65,135.8329,142.99,84.75,136.33,0,51.6,17.2,27-Sep-2024,29-Aug-2025,-,-,23.498875237930445,57.01242987570126,0.1748374012168683,-68.42477876106196,https://nsearchives.nseindia.com/today/SBISILVEREQN.svg,https://nsearchives.nseindia.com/30d/SBISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SBISILVER-EQ.svg,"{'symbol': 'SBISILVER', 'companyName': 'SBI Mutual Fund - SBI SILVER ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1217', 'listingDate': '2024-07-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SILVER1,Kotak Silver ETF,134.61,142.7,134.56,140.69,6.13,4.56,1490093,209641184.17,134.373,142.7,81.8,134.56,0,50.4,17.13,27-Sep-2024,29-Aug-2025,-,-,23.260907657263004,56.27013217816283,1.408549404344773,-71.99266503667482,https://nsearchives.nseindia.com/today/SILVER1EQN.svg,https://nsearchives.nseindia.com/30d/SILVER1-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER1-EQ.svg,"{'symbol': 'SILVER1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1KU9', 'listingDate': '2022-12-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,138.43,139.37,138,139.03,6.02,4.53,46710530,6481553142.8,132.7304,139.37,77.55,133.01,0,50.57,17.11,27-Sep-2024,29-Aug-2025,-,-,23.275403440326297,56.23103719519048,0.2439549400875392,-79.27788523533205,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
AXISILVER,Axis Silver ETF,142.79,146,142.79,144.3,6.04,4.37,1277364,183927642.36,137.8509,146,85.51,138.26,0,51.04,17.21,27-Sep-2024,29-Aug-2025,-,-,23.270117888262437,56.8819308545336,1.1643835616438278,-68.75219272599696,https://nsearchives.nseindia.com/today/AXISILVEREQN.svg,https://nsearchives.nseindia.com/30d/AXISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/AXISILVER-EQ.svg,"{'symbol': 'AXISILVER', 'companyName': 'Axis Mutual Fund - Axis Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K011K1', 'listingDate': '2022-09-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,142.5,147.4,142.5,145,6,4.32,264333,38349431.64,138.5823,148.05,86.27,139,0,50.29,17.1,27-Sep-2024,29-Aug-2025,-,-,23.089983022071312,56.33423180592992,2.0601148260722804,-68.07696765967312,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SILVERADD,DSP Silver ETF,139.93,140.2,138.79,139.65,5.76,4.30,1244028,173429943.48,133.4048,140.2,83.3,133.89,0,50.93,17.23,27-Sep-2024,29-Aug-2025,-,-,23.12643272791395,56.558295964125556,0.3922967189728837,-67.64705882352942,https://nsearchives.nseindia.com/today/SILVERADDEQN.svg,https://nsearchives.nseindia.com/30d/SILVERADD-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERADD-EQ.svg,"{'symbol': 'SILVERADD', 'companyName': 'DSP  Mutual Fund - DSP Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1RE3', 'listingDate': '2022-08-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SILVERIETF,Domestic Price of Silver,142,146.1,142,144,5.46,3.94,10899687,1574895774.63,138.115,146.1,86.01,138.54,0,50.75,17.22,27-Sep-2024,29-Aug-2025,-,-,22.699386503067483,55.49076773566569,1.4373716632443494,-67.42239274502964,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,"{'symbol': 'SILVERIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1Y56', 'listingDate': '2022-01-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),139.4,142.5,138.8,140.98,5.32,3.92,2644962,372595796.94,132.9018,142.5,84.05,135.66,0,51.81,17.9,27-Sep-2024,29-Aug-2025,-,-,23.525803907824407,56.73151750972762,1.0666666666666738,-67.73349196906602,https://nsearchives.nseindia.com/today/SILVERETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERETF-EQ.svg,"{'symbol': 'SILVERETF', 'companyName': 'UTI Mutual Fund - UTI Silver Exchange Traded Fund (UTI Silver ETF)', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AYK6', 'listingDate': '2023-04-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
MOSILVER,Domestic Price of Physical Silver,139.95,144.74,139.95,143.73,5.28,3.81,919551,132902706.03,137.5895,144.74,112.32,138.45,0,0,18.43,,29-Aug-2025,-,-,24.215711693025664,Infinity,0.6978029570264055,-27.964743589743588,https://nsearchives.nseindia.com/today/MOSILVEREQN.svg,https://nsearchives.nseindia.com/30d/MOSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/MOSILVER-EQ.svg,"{'symbol': 'MOSILVER', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FZ1', 'listingDate': '2025-08-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
SILVERCASE,Commodity-Silver,14.58,14.84,14.55,14.66,0.5,3.53,11398294,167326955.92,17.8321,14.84,9,14.16,0,0,17.61,,29-Aug-2025,-,-,22.575250836120397,Infinity,1.2129380053908336,-62.888888888888886,https://nsearchives.nseindia.com/today/SILVERCASEEQN.svg,https://nsearchives.nseindia.com/30d/SILVERCASE-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERCASE-EQ.svg,"{'symbol': 'SILVERCASE', 'companyName': 'Zerodha Fund House - Zerodha Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0R8F01091', 'listingDate': '2025-03-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
MON100,Nasdaq100,216.35,225,213.54,221.6,7.07,3.30,1048186,228441656.84,212.2268,225,159.2,214.53,0,30.53,4.95,27-Sep-2024,29-Aug-2025, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,17-JUN-21,9.006837522750752,34.5313258863526,1.5111111111111137,-39.195979899497495,https://nsearchives.nseindia.com/today/MON100EQN.svg,https://nsearchives.nseindia.com/30d/MON100-EQ.svg,https://nsearchives.nseindia.com/365d/MON100-EQ.svg,"{'symbol': 'MON100', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01AP3', 'slb_isin': 'INF247L01AP3', 'listingDate': '2011-03-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
TNIDETF,Nifty India Digital Index,91.39,93.98,90.18,93.34,2.94,3.25,77271,7071841.92,90.0059,104.78,76.95,90.4,0,-7.94,-1.62,27-Sep-2024,29-Aug-2025,-,-,0.7882518086599762,-5.094051855617683,10.918114143920594,-21.29954515919428,https://nsearchives.nseindia.com/today/TNIDETFEQN.svg,https://nsearchives.nseindia.com/30d/TNIDETF-EQ.svg,https://nsearchives.nseindia.com/365d/TNIDETF-EQ.svg,"{'symbol': 'TNIDETF', 'companyName': 'Tata Mutual Fund - Tata Nifty India Digital Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1364', 'slb_isin': 'INF277KA1364', 'listingDate': '2022-04-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
LICMFGOLD,Gold,10347.65,10480,10250,10478,283.8,2.78,12022,125109106.96,,11477,6690,10194.2,0,48.1,9.76,27-Sep-2024,29-Aug-2025,-,-,14.421748649991533,51.30685920577617,8.704365252243617,-56.62182361733931,https://nsearchives.nseindia.com/today/LICMFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/LICMFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/LICMFGOLD-EQ.svg,"{'symbol': 'LICMFGOLD', 'companyName': 'LIC MF Gold EXCHANGE TRADED FUND', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF397L01554', 'listingDate': '2011-11-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
BSLGOLDETF,Gold,102.37,103.14,100.33,102.39,2.34,2.34,1355824,138022883.2,99.6052,103.14,56.57,100.05,0,48.6,10.39,27-Sep-2024,29-Aug-2025, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 0.10/- PER SHARE,25-NOV-21,14.10899364760949,51.68888888888889,0.7271669575334497,-80.99699487360792,https://nsearchives.nseindia.com/today/BSLGOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/BSLGOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/BSLGOLDETF-EQ.svg,"{'symbol': 'BSLGOLDETF', 'companyName': 'Aditya Birla Sun Life Gold ETF - Growth', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB18D3', 'listingDate': '2011-05-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
IVZINGOLD,Gold,10027.95,10120,9912.3,10120,226.85,2.29,742,7451646.3,9872.0922,10202.9,6460,9893.15,0,46.9,11.2,27-Sep-2024,29-Aug-2025,-,-,14.347698357099265,51.27733680135133,0.8125140891315179,-56.656346749226,https://nsearchives.nseindia.com/today/IVZINGOLDEQN.svg,https://nsearchives.nseindia.com/30d/IVZINGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/IVZINGOLD-EQ.svg,"{'symbol': 'IVZINGOLD', 'companyName': 'Invesco India Gold Exchange Traded Fund', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF205K01361', 'listingDate': '2010-03-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
PSUBANK,Nifty PSU Bank,734.96,745,727.67,744,16.5,2.27,19059,14015988.6,725.4707,757.4,552,727.5,0,7.45,7.43,27-Sep-2024,29-Aug-2025, DIVIVEND - RS 7/- PER UNIT,09-MAR-17,9.479384325612873,9.95019728966853,1.7692104568259808,-34.78260869565217,https://nsearchives.nseindia.com/today/PSUBANKEQN.svg,https://nsearchives.nseindia.com/30d/PSUBANK-EQ.svg,https://nsearchives.nseindia.com/365d/PSUBANK-EQ.svg,"{'symbol': 'PSUBANK', 'companyName': 'Kotak Nifty PSU Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF373I01023', 'slb_isin': 'INF373I01023', 'listingDate': '2007-11-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
NIFTY100EW,Nifty 100 Equal Weight Index,33.06,33.63,32.98,33.63,0.73,2.22,57184,1910517.44,32.817,34.58,24.25,32.9,0,0,1.2,,29-Aug-2025,-,-,2.4680073126142665,Infinity,2.7472527472527353,-38.68041237113403,https://nsearchives.nseindia.com/today/NIFTY100EWEQN.svg,https://nsearchives.nseindia.com/30d/NIFTY100EW-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTY100EW-EQ.svg,"{'symbol': 'NIFTY100EW', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Nifty 100 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1UW4', 'listingDate': '2025-03-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,100.6,105.45,100.6,105.45,2.27,2.20,42740,4479579.4,103.0822,114.1,85.91,103.18,0,-6.74,4.7,27-Sep-2024,29-Aug-2025,-,-,6.4936376489598135,-3.1235645383555273,7.581069237510948,-22.744732859969744,https://nsearchives.nseindia.com/today/MOVALUEEQN.svg,https://nsearchives.nseindia.com/30d/MOVALUE-EQ.svg,https://nsearchives.nseindia.com/365d/MOVALUE-EQ.svg,"{'symbol': 'MOVALUE', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal SP BSE Enhanced Value ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BE5', 'slb_isin': 'INF247L01BE5', 'listingDate': '2022-08-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '29-Sep-2025 16:00:00', 'preOpenTime': '29-Sep-2025 09:07:50', 'QuotePreOpenFlag': False}}"
